Term,Component,Class Status,Subject,Categories,Catalog,Reports Details » Course Catalog::CICS_TitleAbbrevRequest,Reports Details » TermCourseDescriptions::semesterNotes,Class Status,CICScapacity,CICSsavedSeats,Section,Class Nbr,zc.days,Mtg Time,Location,InstructorPrint,Enrl Capacity,Min Units,Max Units
1237,LEC,Active,INFO,Data Science,348,DATA ANALYTICS WITH PYTHON,Was CICS 397A.,Active,70,,01,84538,Mon Wed ,04:00 PM - 05:15 PM,LederT 121,Rattigan,70,3,3
1237,LEC,Active,COMPSCI,Cybersec,360,INTRO COMPUTER/NETWRK SECURITY,,Active,80,,01,76907,Tue Thu ,01:00 PM - 02:15 PM,AgEngin119,Misra,80,3,3
1237,LEC,Active,COMPSCI,Cybersec,365,DIGITAL FORENSICS,,Active,120,,01,77026,Mon Wed ,02:30 PM - 03:45 PM,HasbAd 124,Levine,120,3,3
1237,LEC,Active,COMPSCI,Systems,377,OPERATING SYSTEMS,,Active,180,,01,76876,Tue Thu ,10:00 AM - 11:15 AM,On-Line,Klemperer,180,4,4
1237,LEC,Active,COMPSCI,Data Science,383,ARTIFICIAL INTELLIGENCE,,Active,220,,01,76915,Tue Thu ,11:30 AM - 12:45 PM,SOM 137,Niekum,220,3,3
1237,LEC,Active,COMPSCI,Social,420,SOFTWARE ENTREPRENEURSHIP,,Active,40,,01,77017,Mon Wed ,04:00 PM - 05:15 PM,,Thota,40,3,3
1237,LEC,Active,COMPSCI,Social,429,SOFTWARE ENGINEERING PROJ MGMT,,Active,5,,01,76906,Tue Thu ,01:00 PM - 02:15 PM,FlintL105,Anderson,5,3,3
1237,LEC,Active,COMPSCI,Social,429,SOFTWARE ENGINEERING PROJ MGMT,,Active,5,,02,76927,Tue Thu ,01:00 PM - 02:15 PM,CS 142,Davila,5,3,3
1237,LEC,Active,COMPSCI,Social,429,SOFTWARE ENGINEERING PROJ MGMT,,Active,5,,03,77022,Mon Wed ,04:00 PM - 05:15 PM,Hldswth203,Rattigan,5,3,3
1237,LEC,Active,COMPSCI,Programming,446,SEARCH ENGINES,,Active,175,,01,77013,Tue Thu ,04:00 PM - 05:15 PM,Morr2 131,STAFF,175,3,3
1237,LEC,Active,COMPSCI,Systems,453,COMPUTER NETWORKS,,Active,120,,01,76917,Tue Thu ,02:30 PM - 03:45 PM,HasbAd 124,Kermani,120,3,3
1237,LEC,ACTIVE,COMPSCI,Data Science,490A,APPLICATIONS OF NLP,Prop#8441 Conv 490A to 485,ACTIVE,150,,01,76999,Tue Thu ,04:00 PM - 05:15 PM,GsmnAdd 64,O'Connor,150,3,3
1237,LEC,Active,COMPSCI,Systems,490STA,SCALABLE WEB SYSTEMS,Prop#10060 497S to 490STA; Prop#8971 Conv 497S to 426(IP).,Active,75,7,01,77006,Mon Wed ,02:30 PM - 03:45 PM,,Richards,68,3,3
1237,LEC,Active,COMPSCI,Math,513,LOGIC IN COMPUTER SCIENCE,"Meets w/613; 01=UG, 02=Grad.",Active,15,,01,83785,Tue Thu ,08:30 AM - 09:45 AM,,Minea,15,3,3
1237,LEC,Active,COMPSCI,Math,513,LOGIC IN COMPUTER SCIENCE,"Meets w/613; 01=UG, 02=Grad.",Active,15,5,02,83786,Tue Thu ,08:30 AM - 09:45 AM,,Minea,10,3,3
1237,LEC,Active,COMPSCI,Data Science,514,ALGORITHMS FOR DATA SCIENCE,"01=UG, 02=Grad. Save 50 IGSR.",Active,80,,01,76934,Tue Thu ,01:00 PM - 02:15 PM,Goes 20,Musco,80,3,3
1237,LEC,Active,COMPSCI,Data Science,514,ALGORITHMS FOR DATA SCIENCE,"01=UG, 02=Grad. Save 50 IGSR.",Active,80,50,02,76935,Tue Thu ,01:00 PM - 02:15 PM,Goes 20,Musco,30,3,3
1237,LEC,Active,COMPSCI,Data Science,514,ALGORITHMS FOR DATA SCIENCE,"01=UG, 02=Grad. Save 50 IGSR.",Active,20,,01,84297,Tue Thu ,01:00 PM - 02:15 PM,RLEARN,Klemperer,20,3,3
1237,LEC,Active,COMPSCI,Data Science,515,"ALGRTHMS,GAME THEORY, FAIRNESS","01=UG, 02=Grad.",Active,25,,01,77010,Tue Thu ,11:30 AM - 12:45 PM,FlintL201,Zick,25,3,3
1237,LEC,Active,COMPSCI,Data Science,515,"ALGRTHMS,GAME THEORY, FAIRNESS","01=UG, 02=Grad.",Active,25,10,02,77011,Tue Thu ,11:30 AM - 12:45 PM,FlintL201,Zick,15,3,3
1237,LEC,Active,COMPSCI,Programming,520,THEORY AND PRACTICE-SOFTENGIN,"01=UG, 02=Grad. -02 Save 50 IGSR.",Active,75,,01,76932,Tue Thu ,10:00 AM - 11:15 AM,Herter 231,Conboy,75,3,3
1237,LEC,Active,COMPSCI,Programming,520,THEORY AND PRACTICE-SOFTENGIN,"01=UG, 02=Grad. -02 Save 50 IGSR.",Active,75,50,02,76933,Tue Thu ,10:00 AM - 11:15 AM,Herter 231,Conboy,25,3,3
